"Name","Occurrences","UniqueHashes"
"REASONING_MITTELWEG.md","1","1"
"ABHAENGIGKEITEN.md","1","1"
"NICHT_GEBAUT.md","1","1"
"UMBAU_STAND_3.md","1","1"
"FindHipToolchain.cmake","1","1"
"UMBAU_REASONING.md","1","1"
"UMBAU_STAND_2.md","1","1"
"skill.py","1","1"
"skill.yaml","1","1"
"nova_apex_v2_design.docx","1","1"
"nova_apex_v2_tasks.docx","1","1"
"Apex KV.md","1","1"
"BESTAND_SPEC.md","1","1"
"ideen_clawcode.md","1","1"
"ideen_openclaw.md","1","1"
"agent_json.cpp","1","1"
"plan.h","1","1"
"prompts.cpp","1","1"
"loop_detector.h","1","1"
"plan.cpp","1","1"
"react.h","1","1"
"subagent.cpp","1","1"
"prompts.h","1","1"
"react.cpp","1","1"
"dag_runner.cpp","1","1"
"dag_runner.h","1","1"
"agent_json.h","1","1"
"agent_selftest.cpp","1","1"
"denkkette_test.cpp","1","1"
"loop_detector.cpp","1","1"
"denkkette.cpp","1","1"
"denkkette.h","1","1"
"compiler.cpp","1","1"
"dateien.h","1","1"
"diagnose.cpp","1","1"
"brain.h","1","1"
"dateien.cpp","1","1"
"gedaechtnis.cpp","1","1"
"gedaechtnis.h","1","1"
"diagnose.h","1","1"
"dienste.h","1","1"
"STAND.md","1","1"
"agent.cpp","1","1"
"nova_wire.h","1","1"
"nova_wire_test.cpp","1","1"
"anwendung.h","1","1"
"brain.cpp","1","1"
"agent.h","1","1"
"anwendung.cpp","1","1"
"graph.cpp","1","1"
"einstellungen.h","1","1"
"kopfleiste.cpp","1","1"
"chatspur.h","1","1"
"einstellungen.cpp","1","1"
"nebenbereich.h","1","1"
"seitenleiste.cpp","1","1"
"kopfleiste.h","1","1"
"nebenbereich.cpp","1","1"
"modell.h","1","1"
"todos.cpp","1","1"
"graph.h","1","1"
"modell.cpp","1","1"
"verkabelung.h","1","1"
"chatspur.cpp","1","1"
"todos.h","1","1"
"verkabelung.cpp","1","1"
"insight.h","1","1"
"linker.cpp","1","1"
"index_toc.h","1","1"
"insight.cpp","1","1"
"wiki_page.h","1","1"
"condenser.cpp","1","1"
"linker.h","1","1"
"wiki_page.cpp","1","1"
"consolidator.h","1","1"
"extractor.cpp","1","1"
"compiler.h","1","1"
"consolidator.cpp","1","1"
"hot.h","1","1"
"index_toc.cpp","1","1"
"extractor.h","1","1"
"hot.cpp","1","1"
"condenser.h","1","1"
"nova_core.cpp","1","1"
"nova_core.h","1","1"
"byte_beleg_test.cpp","1","1"
"byte_grammatik_test.cpp","1","1"
"nova_metrics_test.cpp","1","1"
"nova_wire.cpp","1","1"
"nova_metrics.cpp","1","1"
"nova_metrics.h","1","1"
"condenser_train.h","1","1"
"condenser_train.hip","1","1"
"condenser_net.h","1","1"
"condenser_net.hip","1","1"
"condenser_test.cpp","1","1"
"gradient_test.cpp","1","1"
"train_daten.cpp","1","1"
"train_daten.h","1","1"
