"BundledFile","SHA256","OriginalName","RepresentativeSource","SourceCopies","AllSourcePaths"
"64E677C4FEE7--skill_loader.py","64E677C4FEE76FE906A45F5B036128559065FBC05BD1149BD5DE7541DD9D8E42","skill_loader.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\core\skill_loader.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\core\skill_loader.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\core\skill_loader.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\core\skill_loader.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\core\skill_loader.py"
"9E6519FB9EA6--agent_orchestrator.py","9E6519FB9EA6BAFE058B64162733993AEB29C461E8A761E0AF2CFDA2C027DD08","agent_orchestrator.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\agent_orchestrator.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\agent_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\agent_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\agent_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\agent_orchestrator.py"
"2607F6C9FA1E--agent_task.py","2607F6C9FA1E8D47D21C62C4715B03CFF707A0A122344C3F1F78774987094A32","agent_task.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\agent_task.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\agent_task.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\agent_task.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\agent_task.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\agent_task.py"
"5E7AADA8A113--claw_engine.py","5E7AADA8A1139099713881BD51BB02BE4DD7199B3EDA7B22C64E3336732D3410","claw_engine.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\claw_engine.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\claw_engine.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\claw_engine.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\claw_engine.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\claw_engine.py"
"4C1DCCA700DF--claw_tools.py","4C1DCCA700DFE8DE068FDF81AA6A5EC3F3B5B3ECE77FB85D3B97421F8516825A","claw_tools.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\claw_tools.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\claw_tools.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\claw_tools.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\claw_tools.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\claw_tools.py"
"D55153CA5386--permission.py","D55153CA5386A9A69DB9C8CFC35638F1B508FF0ACF172C8F083D8C22539D107F","permission.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\permission.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\permission.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\permission.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\permission.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\permission.py"
"1D97AAAEC98D--task_planner.py","1D97AAAEC98D607B958167AA309180A2485FB9D9F3036D79F8C0B68A6A78B5B4","task_planner.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\task_planner.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\task_planner.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\task_planner.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\task_planner.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\task_planner.py"
"F3C6AAE839E0--workspace_fs.py","F3C6AAE839E08615F4642DE4A7ADB844F9F88E2CA79B8D0E86D8BB7400B9341F","workspace_fs.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\workspace_fs.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer5\workspace_fs.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer5\workspace_fs.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer5\workspace_fs.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer5\workspace_fs.py"
"FABD6525F373--react_brain.py","FABD6525F373169920C48351EFD43908B508F8AE69B915804A7E5A317C51D632","react_brain.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer6\react_brain.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer6\react_brain.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer6\react_brain.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer6\react_brain.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer6\react_brain.py"
"BC24F3C29B3B--skill_mesh.py","BC24F3C29B3BB9D8C16719798D6925DF65B897EE73FB357FA34E8A0B5B7BC59F","skill_mesh.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\orchestrator\skill_mesh.py","4","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\orchestrator\skill_mesh.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\orchestrator\skill_mesh.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\orchestrator\skill_mesh.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\orchestrator\skill_mesh.py"
